klusteri;x;y;x_noise;variable
1;0;-0.8950429995429436;0.03493952701995034;Income
1;0;-0.7610879179095469;-0.03353946926732273;Kidhome
1;0;0.907257409492934;0.007457403077008698;Teenhome
2;0;-0.37597328096524624;0.018160968356201724;Income
2;0;-0.4409763330742394;-0.03356446044324856;Kidhome
2;0;-0.8453643570553964;-0.05710997566497947;Teenhome
3;0;-0.279838107342608;0.04560911843621247;Income
3;0;-0.4132999618678989;0.0038469979907605817;Kidhome
3;0;-0.03225383208464578;0.014584189217409038;Teenhome
4;0;0.2662573582849627;-0.013769621495039545;Income
4;0;0.45512806748608264;-0.014224137320997858;Kidhome
4;0;-0.8163606315348654;0.045508549337193185;Teenhome
5;0;0.8721760633024254;-0.037926626800543144;Income
5;0;0.7365510478846166;-0.013080383820698349;Kidhome
5;0;0.5416556485216558;0.006060365236412541;Teenhome
6;0;1.182088187840604;-0.03034751247076;Income
6;0;0.7362223721439531;0.028860885460236078;Kidhome
6;0;0.6879169847855536;-0.017506268655123315;Teenhome
1;1;0.7972574429193547;0.9701143232007046;MntWines
1;1;-0.49417939678671524;0.9427507778101015;MntFruits
2;1;0.702333898255583;1.00497779651903;MntWines
2;1;-0.5405794379795031;1.015497630959903;MntFruits
3;1;0.40097115104948006;0.9659592407146913;MntWines
3;1;-0.053106490550068185;1.039080096424143;MntFruits
4;1;-0.6184244722006113;1.0017464842640886;MntWines
4;1;-0.1265948429554064;0.952428748293257;MntFruits
5;1;-0.5468521668369053;0.9903535378100996;MntWines
5;1;1.1550955122280258;1.0529214354608019;MntFruits
6;1;-1.7021542772427085;0.9806597240776472;MntWines
6;1;0.7667176758650213;1.0039613481095988;MntFruits
1;2;-0.13587824081384534;2.0229427069888257;Education_78
2;2;0.116089108510261;2.008654664508511;Education_78
3;2;-0.27928358286596505;1.9629265386459707;Education_78
4;2;0.11182948310914392;1.9842407197751029;Education_78
5;2;-0.08657330428415229;2.020085364065528;Education_78
6;2;0.012566770665452056;1.9612046765738695;Education_78
1;3;-0.2065132995020162;2.9924425868211926;NumDealsPurchases
1;3;-0.6401811852234705;2.9826030324341115;NumWebPurchases
1;3;-0.7283629309450179;3.0102556419331634;NumCatalogPurchases
1;3;-0.8102461925630526;3.016069077366365;NumStorePurchases
1;3;0.6837442841994099;2.981080018839523;NumWebVisitsMonth
2;3;0.051548135718641565;2.9967546031689865;NumDealsPurchases
2;3;-0.6452109064416134;3.0167611428528223;NumWebPurchases
2;3;-0.6579282633723762;3.0039655204055156;NumCatalogPurchases
2;3;-0.6728216152122006;3.0304712464762926;NumStorePurchases
2;3;0.2026607086228942;3.021250091289213;NumWebVisitsMonth
3;3;0.0043137523579414045;3.003948665846108;NumDealsPurchases
3;3;-0.16765949536528416;3.0099144308390318;NumWebPurchases
3;3;-0.2102465131148322;2.9609532367720974;NumCatalogPurchases
3;3;-0.16985964837207904;2.9709001654933807;NumStorePurchases
3;3;0.20320897093387533;3.0002906521632866;NumWebVisitsMonth
4;3;0.7802786735497842;2.9542929011912253;NumDealsPurchases
4;3;0.9101891280330179;2.9805707337491136;NumWebPurchases
4;3;0.21147520909045037;3.0310216014237907;NumCatalogPurchases
4;3;0.6926401767116078;3.0080387142417493;NumStorePurchases
4;3;0.1996086069532431;3.006781451737213;NumWebVisitsMonth
5;3;-0.44470865217324146;3.0220232379166756;NumDealsPurchases
5;3;0.3850568381212453;3.0291143793040067;NumWebPurchases
5;3;1.0714059358411077;2.9992045199800574;NumCatalogPurchases
5;3;0.7952728011382788;2.98777557407953;NumStorePurchases
5;3;-1.0016697283881288;2.962496438896197;NumWebVisitsMonth
6;3;-0.6610890065676448;3.0490804596393217;NumDealsPurchases
6;3;0.4953959442075484;2.9912956940269706;NumWebPurchases
6;3;1.1544686000251614;2.9974300690434315;NumCatalogPurchases
6;3;0.7425358998021052;3.037007055036028;NumStorePurchases
6;3;-0.9696396741310667;2.888797319204718;NumWebVisitsMonth
1;5;0.017813990251877267;5.032711122747653;Married
2;5;0.030452085872307386;4.983687413610781;Married
3;5;-0.05347700318483946;4.968347053518184;Married
4;5;0.0006843761244239879;4.988492064707632;Married
5;5;-0.08852535622352917;4.945377029253838;Married
6;5;0.07937771577039437;4.977313441184743;Married
